word,count,freq
which,6837362033,0.0428997316926941
their,4058311467,0.02546310583224953
other,3621031643,0.02271947648606474
there,3441017212,0.021590010070005355
would,3426403207,0.021498317266489934
these,2957571963,0.018556724517754464
about,2356310055,0.014784220676983024
state,2349552959,0.014741824559295718
under,2138741097,0.013419125501707692
first,2110041394,0.013239054656779829
after,1839664795,0.011542627950529512
shall,1783938547,0.011192984173309252
could,1709690152,0.010727126696589448
where,1601555361,0.010048655453125081
those,1532715465,0.009616732577913924
being,1358089126,0.008521072723510914
court,1196078602,0.007504568408330858
three,1176708157,0.00738303222387004
water,1172011748,0.007353565496052096
order,1059882622,0.006650032554967551
great,1056979860,0.006631819725170515
while,1054979462,0.0066192686072006875
right,1000824927,0.006279486245197653
found,943928977,0.00592250339455723
power,935955799,0.005872477200933544
world,931974402,0.005847496680341284
given,873174963,0.00547857074887731
since,859444800,0.005392423444411919
every,854526318,0.00536156336166115
house,852240111,0.005347218989311025
place,838315973,0.005259854625486348
total,837669960,0.005255801339403758
large,834237606,0.0052342656850148765
small,823783977,0.005168676371892284
might,773795122,0.004855030779224426
point,763960968,0.004793328244535104
board,753154728,0.004725526540549064
still,743227151,0.00466323784095951
study,710104260,0.00445541454157472
value,707507792,0.004439123495406466
think,699265181,0.004387406795509548
until,686661692,0.004308328593436549
group,682250352,0.0042806504770092095
never,658856859,0.0041338724406537785
among,647271805,0.0040611842158900955
above,645477604,0.004049926841901228
table,645343539,0.0040490856764778356
local,590553341,0.00370531496750482
again,590320793,0.003703855889170585
taken,577852583,0.003625626469533802
based,570596032,0.0035800966161470913
often,553562469,0.0034732227547157727
women,549556066,0.003448085338717721
times,526143172,0.003301185574466275
field,525978312,0.003300151191654202
level,523973477,0.003287572234569142
white,522733535,0.003279792453586686
human,518438707,0.003252845369612338
known,515410566,0.0032338458730520178
south,513954245,0.0032247084630601377
light,512931697,0.003218292679512158
using,512625658,0.0032163724958325264
early,512170158,0.0032135145474466273
least,507282037,0.003182844959033826
north,505494290,0.0031716280794442616
whole,498670907,0.0031288160565436617
class,496817088,0.003117184620717537
later,495525087,0.003109078205410116
labor,494607427,0.003103320521731072
money,487866180,0.003061023845589252
going,484462293,0.0030396668019944464
shown,464270618,0.0029129779656061803
third,461498399,0.0028955842031113182
party,459810031,0.002884990858214712
young,454997624,0.00285479632293932
child,453879783,0.0028477826415306655
price,448381697,0.00281328594337647
union,448197113,0.0028121278060661233
force,443319763,0.0027815257982506097
trade,441266858,0.0027686452350647595
areas,440829802,0.002765903010059825
river,439369660,0.0027567416259279176
major,430386616,0.0027003792195607096
along,429669951,0.00269588264089994
death,429200751,0.0026929387344615994
paper,426397245,0.002675348667617342
cause,416263404,0.0026117658036680313
title,408080602,0.002560424364001655
basis,407052654,0.002553974699177531
march,403929754,0.002534380655238288
short,402537736,0.002525646702227875
press,394960852,0.002478106980168716
black,390011609,0.002447053893355821
lower,383430160,0.002405759839466843
whose,381816396,0.0023956345832231054
stock,381149565,0.0023914506785466675
issue,375446541,0.0023556681357683015
plant,372502821,0.002337198322766019
model,361478028,0.0022680253494197513
hours,360879533,0.002264270206018612
asked,360407378,0.0022613077589930483
april,345985425,0.0021708199493380167
below,342998004,0.0021520759426970682
range,342236844,0.0021473001885951777
space,340987667,0.0021394624643562036
thing,329796097,0.002069243080344831
night,328224175,0.002059380353796731
clear,318873086,0.0020007087188594055
close,313766169,0.0019686663364289507
sense,307351178,0.0019284166917000614
quite,306133406,0.0019207760121791098
needs,303729239,0.0019056915221745377
chief,300646396,0.001886348808286873
heart,299723602,0.0018805589122982502
final,299486168,0.0018790691776834146
added,291527823,0.0018291360509058504
blood,290463304,0.0018224569282761923
began,290118569,0.0018202939538814326
prior,287844491,0.0018060256826421147
woman,286948761,0.0018004055945900802
civil,285971979,0.0017942769611317365
trial,285507043,0.0017913598083529297
legal,278450226,0.0017470831480790824
staff,276819154,0.0017368492960709908
month,274902426,0.0017248231496520925
claim,268001960,0.0016815274840831494
trust,267819118,0.0016803802766215145
story,263800269,0.00165516477055626
filed,259242412,0.0016265673609924616
equal,259230711,0.0016264939452865046
doing,253162762,0.001588421749786461
basic,248669044,0.0015602267682172247
front,248604719,0.0015598231732009285
judge,245213564,0.0015385460141260994
leave,243897638,0.0015302894859424263
cross,242995851,0.0015246313943923164
heard,241450580,0.0015149358844906103
steel,237386385,0.001489435863546087
alone,237280935,0.001488774237514708
brown,232923789,0.0014614361510650307
bring,230431560,0.0014457991327382653
music,229638423,0.0014408227450128052
goods,227645567,0.001428318947891993
earth,227462244,0.0014271687224870573
color,225486981,0.0014147753093090621
sound,224761216,0.0014102216344236784
smith,217810630,0.0013666115004176303
joint,214645822,0.0013467545126782637
eight,213942048,0.0013423388161528235
seven,212683243,0.0013344406828533458
peace,209272574,0.0013130410868854268
green,209135696,0.0013121822718268864
stage,206074541,0.0012929756351831151
apply,205418746,0.0012888609737962196
upper,204815518,0.0012850761340839707
share,203940645,0.0012795869093238897
built,202224643,0.0012688201801337685
tests,201827126,0.001266326035087627
gives,201824992,0.0012663126457092392
texas,198954109,0.0012482998346533534
daily,197260663,0.0012376746288085504
index,196159845,0.0012307677549857864
error,195698713,0.0012278744696837304
write,195574955,0.0012270979735776004
scale,195572425,0.0012270820995722957
voice,195229525,0.0012249306385371148
forth,193703227,0.0012153541711265737
agent,193607361,0.001214752678086041
henry,192826577,0.0012098537969169169
grant,192610289,0.0012084967388697391
motor,191883492,0.0012039365888960255
cover,191809158,0.0012034701943069643
noted,190305711,0.0011940371011633084
serve,189132199,0.0011866741226205344
fully,188826147,0.0011847538573748673
phase,187548047,0.0011767346612562768
comes,185790302,0.0011657060235272477
heavy,185596101,0.0011644875461738118
moved,183816582,0.0011533222916101954
truth,183373672,0.001150543336792196
metal,182747032,0.0011466116029249292
stand,179785624,0.0011280308099203419
allow,179270559,0.0011247991322356366
start,178679035,0.001121087727052276
fixed,177835581,0.0011157956348505627
occur,177637376,0.0011145520351582966
offer,176038211,0.0011045183775720468
ready,174984811,0.0010979090189996946
floor,174714093,0.0010962104502376005
speed,172710531,0.0010836394803496764
carry,172223033,0.001080580766579689
faith,167194854,0.0010490324108012848
china,166900747,0.0010471870921933116
owner,165907468,0.0010409549514363461
glass,163896604,0.0010283381665339023
event,162887369,0.00102200591288024
doubt,160052035,0.0010042161472846622
grade,159359798,0.000999872837478274
coast,158784443,0.0009962628816197249
tried,158398468,0.000993841154664187
check,154784605,0.0009711666564694304
lives,153108461,0.0009606500087431188
enter,151951687,0.0009533920496077722
wrote,151716761,0.0009519180509634126
named,150851362,0.000946488269020034
ideas,149811222,0.0009399621078035479
speak,149679436,0.0009391352415335498
round,148268820,0.0009302845988983712
grand,146887848,0.0009216199519206055
stone,146306919,0.0009179750230559027
worth,145104964,0.0009104335843025026
waste,145104764,0.0009104323294404233
japan,145057008,0.0009101326934730972
ratio,144584036,0.000907165120335939
image,143469019,0.0009001691575798458
begin,143422343,0.0008998762978677487
plate,143241676,0.0008987427370312278
learn,142973320,0.0008970589881902916
reach,141681364,0.0008889528552268382
guide,140307648,0.0008803337346453142
favor,139090572,0.000872697422044399
limit,138679631,0.0008701190506554859
style,136801754,0.0008583366674698271
owned,136167149,0.0008543549587202472
clerk,136088114,0.0008538590685980088
urban,136026019,0.0008534694652938981
avoid,135395371,0.0008495125839905595
broad,134788185,0.0008457029105577589
proof,133915943,0.0008402301935083327
stood,133741160,0.0008391335507141885
moral,133639399,0.0008384950706138647
paris,133525518,0.0008377805458715274
spent,132733168,0.0008328090960283499
drive,132469876,0.0008311571202952649
yield,131092867,0.0008225173384096031
drawn,130724427,0.0008202056314868791
brief,129635271,0.0008133719286719666
piece,129559419,0.0008128960096797224
rural,129130347,0.0008102038787689988
gross,128719380,0.0008076253442480154
thank,128213555,0.0008044516411913797
solid,127557885,0.0008003377640932838
wrong,127367308,0.0007991420248407272
usual,127350028,0.0007990336047570645
exist,127191301,0.000798037702290657
agree,126444336,0.0007933510120248537
lived,126270799,0.0007922621870214645
hence,125261475,0.0007859293749541769
media,125203238,0.0007855639779395784
mouth,124819192,0.0007831543541287965
store,124282186,0.0007797850117996674
entry,123974947,0.000777857298947559
fifty,123306282,0.0007736618871858524
visit,123076861,0.0007722224286202291
jesus,122718884,0.0007699763698071904
depth,122255168,0.0007670668716870681
bound,121406948,0.000761744876122002
crime,120558164,0.000756419341845872
frank,119671469,0.0007508559421882758
block,119413349,0.0007492364171885647
ought,119229396,0.0007480822389680788
youth,117531221,0.0007374273619094076
shape,116517037,0.00073106405669359
train,116098918,0.0007284406483046462
prove,115566876,0.0007251024516523285
focus,115399732,0.0007240537383153082
build,115006578,0.0007215869680854292
steam,114806396,0.0007203309640815079
sugar,114774943,0.0007201336181965866
creek,114292211,0.0007171048077899521
brain,113527490,0.0007123067108687373
horse,113403033,0.0007115258290196398
fresh,113337287,0.0007111133182082692
rapid,111983128,0.0007026169043151822
peter,111568216,0.000700013617639682
fifth,111459583,0.000699332020478309
minor,110704130,0.0006945920738658549
forty,110217253,0.0006915372564426243
grain,109999527,0.0006901711759370956
happy,109331123,0.0006859774017704025
fruit,108143664,0.0006785269154205195
adult,106658031,0.0006692055928422783
wages,106004177,0.0006651031098918636
layer,105787063,0.0006637408692642979
india,105166574,0.000659847728680284
birth,104580440,0.000656170142029964
enemy,104518158,0.0006557793654298091
award,104413168,0.0006551206255812128
sheet,104266581,0.0006542008932430266
break,103400332,0.0006487657781358105
track,101554733,0.0006371859171411506
chair,101311941,0.0006356625647712072
clean,101007890,0.0006337548544206448
plane,100279916,0.0006291873195835939
corps,100069120,0.0006278647200491173
fluid,99590389,0.0006248610131583819
meant,99251015,0.0006227316753416613
hotel,99055534,0.0006215051668709171
count,98976491,0.0006210092265541956
guard,98763202,0.000619670985163899
honor,98684492,0.0006191771341925397
maybe,98682324,0.0006191635314875988
route,98463736,0.0006177920425265077
frame,98446987,0.0006176869541016659
latin,98336250,0.0006169921557912173
aware,97667807,0.0006127981369264188
false,96340037,0.0006044672958104019
scene,95616431,0.0005999271671611657
mixed,95354739,0.0005982852303247162
plain,94635037,0.0005937695965832703
royal,93973469,0.0005896187136024521
cited,93134754,0.0005843563553577109
aside,93044574,0.0005837905380460964
cycle,92803297,0.0005822766912564045
naval,92771679,0.0005820783101102676
scope,92701610,0.0005816386754550501
ocean,92549970,0.0005806872390264271
angle,92284449,0.0005790212778554668
amend,92211887,0.0005785660013444292
grown,91833662,0.0005761929002944692
extra,91808675,0.0005760361241005757
sight,90697636,0.0005690651205512425
noise,90598223,0.0005684413725317312
sleep,90385099,0.00056710416640265
raise,89819320,0.000563554293340464
fight,89543404,0.0005618231107129254
canal,89491036,0.0005614945376260477
firms,89381006,0.00056080417525305
wheat,88507884,0.0005553259368104742
apart,88489773,0.0005552123027748715
inner,87978996,0.0005520075293331491
twice,87580283,0.0005495058802117723
curve,87367726,0.0005481722316166865
spoke,87272080,0.0005475721189244412
watch,86818831,0.0005447282940112458
thick,86604202,0.000543381645045017
refer,86125252,0.0005403765640803046
dated,86093116,0.000540174932841382
delay,85159041,0.000534314256357169
roman,85109913,0.0005340060120359781
ahead,84610074,0.0005308698670013797
chain,84183024,0.0005281904227462791
greek,83816324,0.0005258896331236462
abuse,83799561,0.0005257844568584588
lease,82851356,0.0005198351243683343
armed,82384189,0.0005169039736030314
ended,81904508,0.0005138943061174186
beach,80515352,0.0005051783101833627
draft,79446254,0.0004984704574863961
touch,79400391,0.0004981826987886518
lewis,79247380,0.0004972226602804744
ideal,78863659,0.0004948150756205717
panel,78736192,0.0004940153080971788
truck,77970910,0.0004892136912878311
shift,77694210,0.0004874775896009412
print,77634655,0.00048710392304523927
cable,77239797,0.0004846264613904435
novel,77110004,0.0004838120998210669
truly,77041586,0.0004833828240523151
sweet,76912425,0.0004825724278471095
acute,76653788,0.00048094965902892317
grace,75562003,0.00047409946105197656
sharp,75434059,0.00047329670068252427
basin,74824480,0.0004694720128249432
queen,74204950,0.0004655848893046002
